N1.AVG_Signal	N2.AVG_Signal	CQ1.AVG_Signal	CQ2.AVG_Signal	0.1%1.AVG_Signal	0.1%2.AVG_Signal
124.479	146.9557	141.7657	114.1474	132.0471	128.8013
198.4021	222.0635	202.5222	204.45	183.9197	181.2989
122.4548	134.8488	127.9069	131.3506	141.1131	123.8614
114.4334	142.1557	124.9985	126.171	114.7294	113.4246
133.1052	128.9253	134.8564	136.9336	126.8653	105.5203
147.5215	149.613	143.312	143.2475	139.9882	154.9935
139.9862	159.6312	150.1541	156.6603	149.3361	143.6518
199.846	227.7939	222.2785	212.596	201.2679	214.0429
136.1054	149.1246	144.3935	145.989	144.8446	138.3566
191.5831	184.1283	197.954	179.6077	221.1012	199.8748
216.8011	200.5424	189.6157	187.1287	177.2591	178.5426
135.0198	149.725	179.6835	132.1014	149.5065	154.0639
179.3606	180.1602	204.1058	243.8286	182.5623	186.2157
136.5702	126.753	157.0227	126.4944	145.7565	135.2385
150.9369	145.281	152.3049	137.8082	140.7687	139.6522
302.566	285.4186	222.6259	224.7407	154.5964	176.6129
162.4182	160.4352	164.0304	140.8684	139.6446	131.204
137.2788	153.7726	161.4077	155.032	141.3275	137.7003
113.2763	126.235	131.3033	125.4747	127.3257	132.1545
283.8313	247.4349	201.4322	219.8774	288.1178	289.3002
146.5387	180.0064	171.2033	132.5072	155.3604	145.5856
123.5019	142.8615	125.9461	127.3956	117.6432	117.5938
108.0151	90.32149	101.4623	98.04939	101.4048	90.07246
187.813	163.7951	156.0638	157.3854	141.8922	133.217
179.9011	163.0367	155.0846	154.9319	151.3945	162.8126
117.4623	122.4091	113.9528	108.2903	102.8967	99.6054
167.727	168.2605	171.6907	140.553	166.8131	137.6498
165.7784	177.1455	157.698	161.9044	165.0713	156.141
62983.08	63934.74	62830.66	62905.19	61024.49	60714.95
177.8189	162.3372	163.2183	179.9979	160.5123	159.8354
669.2772	570.533	220.2942	255.1996	333.5266	336.0107
141.9627	128.9164	140.7465	154.07	128.7849	142.7849
199.0788	220.2906	161.6995	153.0992	159.5417	144.7206
574.4791	567.7031	694.383	777.377	487.0183	502.9003
